test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
High Sens/High Spec	1.3	1.9	16517	6113	0.04661034289957999
High Sens/High Spec	1.3	2	15625	5783	0.0449884350268458
High Sens/High Spec	1.4	1	35906	13289	0.0761014915476215
High Sens/High Spec	1.4	1.1	31068	11499	0.07045750226660352
High Sens/High Spec	1.4	1.2	27412	10145	0.06570862155701379
High Sens/High Spec	1.4	1.3	24563	9091	0.06166907543883929
High Sens/High Spec	1.4	1.4	22287	8249	0.05820165143477746
High Sens/High Spec	1.4	1.5	20432	7562	0.05520282681088151
High Sens/High Spec	1.4	1.6	18895	6993	0.0525930493650949
High Sens/High Spec	1.4	1.7000000000000002	17603	6515	0.05031020155558166
High Sens/High Spec	1.4	1.8	16505	6109	0.04830509447665657
High Sens/High Spec	1.4	1.9	15562	5760	0.04653829243629226
High Sens/High Spec	1.4	2	14746	5458	0.04497783131138247
High Sens/High Spec	1.5	1	33475	12390	0.07536996278695213
High Sens/High Spec	1.5	1.1	29029	10744	0.06982334634663445
High Sens/High Spec	1.5	1.2	25664	9499	0.06516268434117778
High Sens/High Spec	1.5	1.3	23039	8527	0.061204380257308066
High Sens/High Spec	1.5	1.4	20942	7751	0.05781286814371425
High Sens/High Spec	1.5	1.5	19232	7118	0.054885901020350236
High Sens/High Spec	1.5	1.6	17815	6594	0.052344937872820685
High Sens/High Spec	1.5	1.7000000000000002	16625	6153	0.0501286801798706
High Sens/High Spec	1.5	1.8	15613	5779	0.04818861647800185
High Sens/High Spec	1.5	1.9	14746	5458	0.04648588309190238
High Sens/High Spec	1.5	2	13995	5180	0.044989008872198005
High Sens/High Spec	1.6	1	31357	11605	0.07465143995378765
High Sens/High Spec	1.6	1.1	27251	10086	0.06920177761619653
High Sens/High Spec	1.6	1.2	24141	8935	0.06462923732488299
High Sens/High Spec	1.6	1.3	21713	8036	0.06075237906107614
High Sens/High Spec	1.6	1.4	19772	7318	0.057437272391932165
