test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Near-Perfect	0.99	0.99	C	1.4	1.5	13222	4741	-0.23572233352106983	-0.22558814019682313	0.010134193324246699
Near-Perfect	0.99	0.99	C	1.4	1.6	12492	4479	-0.23572233352106983	-0.22619773793795836	0.009524595583111473
Near-Perfect	0.99	0.99	C	1.4	1.7000000000000002	11855	4251	-0.23572233352106983	-0.2267315757808947	0.008990757740175132
Near-Perfect	0.99	0.99	C	1.4	1.8	11296	4050	-0.23572233352106983	-0.22720162231510044	0.008520711205969395
Near-Perfect	0.99	0.99	C	1.4	1.9	10801	3873	-0.23572233352106983	-0.2276173896823821	0.008104943838687734
Near-Perfect	0.99	0.99	C	1.4	2	10362	3716	-0.23572233352106983	-0.22798652900866173	0.007735804512408101
Near-Perfect	0.99	0.99	C	1.5	1	18105	6492	-0.23572233352106983	-0.22131628544179338	0.014406048079276451
Near-Perfect	0.99	0.99	C	1.5	1.1	16527	5926	-0.23572233352106983	-0.22260084782499023	0.013121485696079599
Near-Perfect	0.99	0.99	C	1.5	1.2	15232	5462	-0.23572233352106983	-0.2236728562626745	0.012049477258395336
Near-Perfect	0.99	0.99	C	1.5	1.3	14153	5075	-0.23572233352106983	-0.22457898348106745	0.011143350040002387
Near-Perfect	0.99	0.99	C	1.5	1.4	13240	4748	-0.23572233352106983	-0.2253530720437319	0.010369261477337938
Near-Perfect	0.99	0.99	C	1.5	1.5	12459	4468	-0.23572233352106983	-0.22602025342437107	0.009702080096698762
Near-Perfect	0.99	0.99	C	1.5	1.6	11784	4226	-0.23572233352106983	-0.22659957544258988	0.009122758078479953
Near-Perfect	0.99	0.99	C	1.5	1.7000000000000002	11197	4015	-0.23572233352106983	-0.2271057323457736	0.008616601175296223
Near-Perfect	0.99	0.99	C	1.5	1.8	10681	3830	-0.23572233352106983	-0.22755023579304964	0.008172097728020189
Near-Perfect	0.99	0.99	C	1.5	1.9	10226	3667	-0.23572233352106983	-0.22794222671770706	0.007780106803362774
Near-Perfect	0.99	0.99	C	1.5	2	9822	3522	-0.23572233352106983	-0.22828905026786572	0.007433283253204109
Near-Perfect	0.99	0.99	C	1.6	1	17045	6112	-0.23572233352106983	-0.22189850493520893	0.013823828585860898
Near-Perfect	0.99	0.99	C	1.6	1.1	15577	5586	-0.23572233352106983	-0.22313232678760644	0.012590006733463388
Near-Perfect	0.99	0.99	C	1.6	1.2	14374	5154	-0.23572233352106983	-0.22416055230131163	0.011561781219758205
Near-Perfect	0.99	0.99	C	1.6	1.3	13370	4794	-0.23572233352106983	-0.22502833566016406	0.010693997860905774
Near-Perfect	0.99	0.99	C	1.6	1.4	12522	4490	-0.23572233352106983	-0.22576839369652515	0.009953939824544678
Near-Perfect	0.99	0.99	C	1.6	1.5	11797	4230	-0.23572233352106983	-0.2264050042568842	0.009317329264185631
Near-Perfect	0.99	0.99	C	1.6	1.6	11171	4006	-0.23572233352106983	-0.22695655459612496	0.008765778924944873
Near-Perfect	0.99	0.99	C	1.6	1.7000000000000002	10627	3811	-0.23572233352106983	-0.22743721822884103	0.008285115292228806
Near-Perfect	0.99	0.99	C	1.6	1.8	10150	3640	-0.23572233352106983	-0.22785808916217834	0.007864244358891492
Near-Perfect	0.99	0.99	C	1.6	1.9	9730	3489	-0.23572233352106983	-0.22822796781196192	0.007494365709107914
Near-Perfect	0.99	0.99	C	1.6	2	9358	3356	-0.23572233352106983	-0.22855391724936364	0.007168416271706196
Near-Perfect	0.99	0.99	C	1.7000000000000002	1	16116	5779	-0.23572233352106983	-0.22242516255181966	0.013297170969250177
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.1	14745	5287	-0.23572233352106983	-0.2236126045415336	0.012109728979536244
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.2	13621	4884	-0.23572233352106983	-0.22460074998567026	0.011121583535399576
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.3	12685	4549	-0.23572233352106983	-0.22543336009519052	0.01028897342587931
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.4	11894	4265	-0.23572233352106983	-0.22614211944087204	0.009580214080197796
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.5	11219	4023	-0.23572233352106983	-0.22675052280582328	0.008971810715246553
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.6	10637	3814	-0.23572233352106983	-0.2272763507152119	0.008445982805857927
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.7000000000000002	10131	3633	-0.23572233352106983	-0.22773329729312153	0.007989036227948304
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.8	9689	3474	-0.23572233352106983	-0.2281320707010689	0.0075902628200009425
Near-Perfect	0.99	0.99	C	1.7000000000000002	1.9	9300	3335	-0.23572233352106983	-0.2284811552014818	0.0072411783195880375
Near-Perfect	0.99	0.99	C	1.7000000000000002	2	8956	3212	-0.23572233352106983	-0.22878735020829902	0.006934983312770815
Near-Perfect	0.99	0.99	C	1.8	1	15296	5485	-0.23572233352106983	-0.22290524985577959	0.012817083665290246
Near-Perfect	0.99	0.99	C	1.8	1.1	14011	5024	-0.23572233352106983	-0.2240499916772162	0.011672341843853629
Near-Perfect	0.99	0.99	C	1.8	1.2	12957	4646	-0.23572233352106983	-0.22500117297184452	0.010721160549225311
Near-Perfect	0.99	0.99	C	1.8	1.3	12080	4332	-0.23572233352106983	-0.22580126889411586	0.009921064626953968
Near-Perfect	0.99	0.99	C	1.8	1.4	11341	4067	-0.23572233352106983	-0.22648101087826808	0.009241322642801753
Near-Perfect	0.99	0.99	C	1.8	1.5	10710	3840	-0.23572233352106983	-0.22706316995075942	0.008659163570310408
Near-Perfect	0.99	0.99	C	1.8	1.6	10167	3646	-0.23572233352106983	-0.2275649647226268	0.008157368798443032
Near-Perfect	0.99	0.99	C	1.8	1.7000000000000002	9696	3477	-0.23572233352106983	-0.22799964388379623	0.0077226896372736
Near-Perfect	0.99	0.99	C	1.8	1.8	9284	3329	-0.23572233352106983	-0.2283775553643257	0.007344778156744142
Near-Perfect	0.99	0.99	C	1.8	1.9	8924	3200	-0.23572233352106983	-0.2287068863102664	0.007015447210803438
Near-Perfect	0.99	0.99	C	1.8	2	8606	3086	-0.23572233352106983	-0.22899418618302128	0.006728147338048551
Near-Perfect	0.99	0.99	C	1.9	1	14566	5223	-0.23572233352106983	-0.2233459224039767	0.012376411117093145
Near-Perfect	0.99	0.99	C	1.9	1.1	13357	4790	-0.23572233352106983	-0.2244510981375644	0.01127123538350544
Near-Perfect	0.99	0.99	C	1.9	1.2	12367	4435	-0.23572233352106983	-0.22536796135085368	0.010354372170216147
Near-Perfect	0.99	0.99	C	1.9	1.3	11544	4140	-0.23572233352106983	-0.22613779276258827	0.009584540758481558
